Page,Index,Title,DOI,PDFLink,Downloaded
1,12,A sigma-delta modulator with optimized biquad-based loop filter for WCDMA application,10.1109/NEWCAS.2007.4488004,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4488004,1
1,13,Multi-stage delta-sigma modulator with a relaxed opamp gain using a back-end digital integrator,10.1109/ISCAS.2016.7527544,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7527544,1
1,14,Complex mismatch shaper for tree-structured DAC in multi-bit complex sigma-delta modulators,10.1109/ICECS.2008.4674857,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4674857,1
1,15,A Delta–Sigma Modulator for Low-Power Analog Front Ends in Biomedical Instrumentation,10.1109/TIM.2016.2534358,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7436785,1
1,16,Linear demodulation of intensity-modulated analog photonic link based on polarization modulator,10.1109/MWP.2014.6994543,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6994543,1
1,17,Time-Interleaved Multirate Sigma–Delta Modulators,10.1109/TCSII.2006.882230,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1715570,1
1,18,A perspective on high speed Analog to Digital conversion with silicon light-emitting devices,10.1109/OECC.2015.7340103,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7340103,1
1,19,A 50-Gbaud PAM-8 Modulator Driver Realized as a 3-Bit Digital-to-Analog Converter,10.1109/ICECCME52200.2021.9591120,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9591120,1
1,20,A Digitally Reconfigurable Sensor Interface for SOC using Delta-Sigma Modulators,10.1109/IMTC.2006.328474,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4124346,1
1,21,A continuous-time delta-sigma modulator with self-ELD compensated quantizer,10.1109/CICC.2018.8357087,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8357087,1
1,22,Continuous-time delta-sigma modulator with maximally flat signal transfer function using minimum number of DACs,10.1109/MWSCAS.2017.8053031,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8053031,1
1,23,Analog Techniques for Low-power High-Performance Switched-Capacitor Sigma-Delta Modulators,10.1109/ICECS58634.2023.10382811,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10382811,1
1,24,Continuous-time time-stretched analog-to-digital converter array implemented using virtual time gating,10.1109/TCSI.2005.851674,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1495716,1
1,25,Spectral Encoded Photonic Analog-to-Digital Converter Based on Cascaded Unbalanced MZMs,10.1109/LPT.2008.2010460,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4738354,1
1,26,Digitally tuned bandpass sigma delta modulator for wireless communications,10.1109/ISCAS.2005.1465425,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1465425,1
1,27,A 22-Bit 34-uW Sturdy-MASH Digital Delta-Sigma Modulator with Nested Bus-Splitting and Resolution Enhancement,10.1109/ICCS59502.2023.10367236,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10367236,1
1,28,A 350-MS/s Continuous-Time Delta–Sigma Modulator With a Digitally Assisted Binary-DAC and a 5-Bits Two-Step-ADC Quantizer in 130-nm CMOS,10.1109/TVLSI.2014.2352463,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6898830,1
1,29,A new proposal of photonic analog-to-digital conversion based on polarization modulator and polarizer,10.1109/APCC.2009.5375564,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5375564,1
1,30,A 0.6-V Delta–Sigma Modulator With Subthreshold-Leakage Suppression Switches,10.1109/TCSII.2009.2032444,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5299254,1
1,31,Advancing Data Weighted Averaging Technique for Multi-Bit Sigma–Delta Modulators,10.1109/TCSII.2007.901575,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=4349226,1
1,32,Design of a low-voltage low power dynamic latch comparator for a 1.2-V 0.4-mW CT delta sigma modulator with 41-dBm SNDR,10.1109/ICOEI.2017.8300817,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8300817,1
1,33,Analysis of single-event effects in continuous-time Delta-Sigma Modulators,10.1109/TNS.2004.839109,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1369519,1
1,34,Continuous time delta-sigma modulator with an embedded passive low pass filter,10.1109/ISCAS.2015.7168634,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7168634,1
1,35,SMASH-MASH delta-sigma modulator using noise-shaping quantizers,10.1109/NEWCAS.2016.7604817,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7604817,1
1,36,A 25 MHz Bandwidth 5th-Order Continuous-Time Low-Pass Sigma-Delta Modulator With 67.7 dB SNDR Using Time-Domain Quantization and Feedback,10.1109/JSSC.2010.2050942,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5556409,1
1,37,A delta-sigma-modulator feedforward network for a non-binary analog-to-digital converter,10.1109/ISMVL49045.2020.00-15,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9308425,1
1,38,Optimization of baseband incremental sigma-delta modulator based on stability and dynamic range,10.1109/ICM.2005.1590036,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1590036,1
1,39,An analog GFSK modulator in 0.35-/spl mu/m CMOS,10.1109/JSSC.2004.836341,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=1362837,1
1,40,Multirate Downsampling Hybrid CT/DT Cascade Sigma-Delta Modulators,10.1109/TCSI.2011.2163892,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6020721,1
1,41,"Reduced Complexity, Low-Power Linear Modulator for DAC-Based Multilevel Coherent Transmitters",10.1109/LPT.2015.2506141,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7355296,1
1,42,A 22.4 μW 80dB SNDR ΣΔ modulator with passive analog adder and SAR quantizer for EMG application,10.1109/IPEC.2012.6522674,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6522674,1
1,43,Efficient Calibration of Feedback DAC in Delta Sigma Modulators,10.1109/TCSII.2020.2984025,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=9050628,1
1,44,First-order Continuous Time Delta-sigma Modulator with 3-bit SAR ADC and PNM DAC,10.1109/ISOCC59558.2023.10396178,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=10396178,1
